순위,팀,타수,안타,2루타,3루타,홈런,타점,득점,도루,사사구,삼진,병살,타율,출루율,장타율,OPS
1,KT,2873,810,136,14,56,425,454,35,389,622,64,0.282,0.365,0.397,0.763
2,NC,2791,775,126,3,81,406,430,94,379,605,64,0.278,0.361,0.412,0.773
3,삼성,2924,805,131,17,75,461,485,66,455,584,61,0.275,0.369,0.409,0.778
4,한화,2887,792,134,14,95,451,481,47,369,658,57,0.274,0.354,0.429,0.783
5,LG,2838,772,128,9,75,416,435,60,401,620,67,0.272,0.359,0.403,0.761
6,두산,2969,799,130,25,65,377,402,75,340,601,62,0.269,0.340,0.395,0.735
7,KIA,2952,793,150,8,101,431,450,50,344,663,70,0.269,0.342,0.428,0.770
8,롯데,2956,770,135,13,64,353,375,73,283,625,51,0.260,0.323,0.380,0.702
9,SSG,2957,770,134,14,94,402,423,60,369,648,64,0.260,0.339,0.411,0.750
10,키움,2909,682,121,7,51,276,295,15,344,755,59,0.234,0.313,0.333,0.647
