순위,팀,이닝,피안타,피홈런,실점,자책,사사구,탈삼진,평균자책,실책,WHIP,QS,홀드,세이브
1,한화,1290 1/3,1185,102,554,509,543,1339,3.55,86,1.27,68,57,41
2,SSG,1283 1/3,1164,115,576,517,588,1193,3.63,106,1.30,45,102,36
3,LG,1279 1/3,1236,91,584,539,553,1080,3.79,92,1.35,69,77,42
4,KT,1278 1/3,1362,112,657,581,491,1067,4.09,103,1.40,74,60,37
5,삼성,1268 2/3,1257,132,647,581,525,1048,4.12,87,1.35,59,76,25
6,두산,1280,1227,109,686,612,641,1054,4.30,120,1.38,52,69,29
7,KIA,1274 2/3,1316,110,734,660,595,1058,4.66,123,1.43,58,82,30
8,롯데,1280,1351,128,749,676,633,1173,4.75,111,1.49,52,69,36
9,NC,1270,1279,146,766,680,718,1075,4.82,116,1.50,38,103,39
10,키움,1269,1447,146,860,760,642,937,5.39,119,1.57,47,55,31
