순위,날짜,제목,언론사,내용
1,2026.07.10 11:48,눈물 왈칵 쏟고 국가대표 은퇴 선언한 지 사흘 만에…‘손흥민과 동갑내기’...,골닷컴,"[골닷컴 강동훈 기자] 1992년생으로 손흥민(LA FC)과 동갑내기이자, ‘세계적인 슈퍼스타’ 네이마르(산투스)가 17년 현역 생활에 마침표를 찍을 수도 있을 거란 현지 보도가 나오고 있다. 9일(한국시간) 브라질 매체 UOL 에스포르테에 따르면 2026 북중미 월드컵 16강에서 탈락한 직후 눈물을 흘리면서 국가대표 은퇴를 선언한 네이마르는"
2,2026.07.10 14:50,"잉글랜드 초대형 악재, 콴사 2경기 징계...홀란 7골 막아야 하는데 수...",OSEN,"[OSEN=이인환 기자] 잉글랜드의 오른쪽 수비가 비었다. 자렐 콴사가 월드컵 8강 노르웨이전을 뛰지 못한다. FIFA는 10일(한국시간) 콴사에게 2경기 출전 정지 징계를 내렸다. 멕시코와의 16강전 퇴장이 거친 플레이로 분류됐고, 징계는 8강을 넘어 잉글랜드가 통과할 경우 준결승까지 이어진다. 퇴장은 후반 9분에 나왔다. 콴사는 멕시코 왼쪽 수비수 헤"
3,2026.07.10 10:18,"""메시 우승 밀어주기 음모"" 음바페, PK '3분 10초' 지연→실축에 ...",스타뉴스,[스타뉴스 | 박재호 기자] 킬리안 음바페가 10일(한국시간) 미국 매사추세츠주 폭스버러의 보스턴 스타디움에서 열린 프랑스 대 모로코의 2026 국제축구연맹(FIFA) 북중미 월드컵 8강전에서 페널티킥을 시도하고 있다. /AFPBBNews=뉴스1프랑스 에이스 킬리안 음바페(28)가 페널티킥을 실축하자 아르헨티나 국적 심판들이 경기를 과도하게 지연시켰다는 주
4,2026.07.10 11:58,"48개국 체제서 완전 망했다! 아시아 9개국, 26 WC 29경기 3승 ...",OSEN,"[OSEN=이인환 기자] 아시아의 월드컵은 숫자만 커졌다. 2026 북중미 월드컵은 아시아에 열린 대회처럼 보였다. 본선이 48개국으로 확대됐고, 아시아축구연맹 소속 9개국이 무대에 섰다. 그러나 결과는 따라오지 않았다. 한국도 그 흐름을 피하지 못했다. 조별리그 첫 경기에서는 체코를 2-1로 꺾었다. 황인범이 골과 도움을 만들었고, 오현규가 후반 결승"
5,2026.07.10 10:35,"[북중미 월드컵] “4년 계약, 연봉 최소 120억” 공식계약 체결 직전...",골닷컴,"[골닷컴 강동훈 기자] ‘세계적인 명장’ 위르겐 클롭(59·독일) 감독이 독일 새 사령탑으로 부임한다. 빌트, 스카이 독일 등 독일 매체들은 9일(한국시간) 일제히 “독일축구협회 베른트 노이엔도르프 회장과 한스요아힘 바츠케 부회장이 미국으로 날아가 클롭 감독과 만난 후 계약을 마무리 지을 예정이다. 모든 합의가 완료되면 클롭 감독은 공식적으로"
6,2026.07.10 11:17,"""이강인 오자마자 대표팀?""…ATM 팬들, 공식 발표 전부터 한숨",OSEN,"[OSEN=우충원 기자] 이강인의 아틀레티코 마드리드 이적 발표가 임박한 가운데, 스페인 현지에서는 공식 발표도 나오기 전에 내년 아시안컵 차출을 걱정하는 이색적인 반응이 나오고 있다. 유럽 이적시장 전문가 파브리시오 로마노 기자는 지난 6일(이하 한국시간) 자신의 SNS를 통해 ""이강인의 아틀레티코 이적이 완료됐다. 모든 당사자 간 합의가 끝났으며 이"
7,2026.07.10 15:21,"프랑스, 월드컵 3회 연속 4강 대업...독일·브라질 다음 ‘왕조의 숫자...",OSEN,"[OSEN=이인환 기자] 프랑스가 독일과 브라질의 줄에 섰다. 프랑스는 10일(한국시간) 미국 폭스버러 보스턴 스타디움에서 열린 모로코와 2026 북중미월드컵 8강전에서 2-0으로 이겼다. 2018년 러시아 대회 우승, 2022년 카타르 대회 준우승에 이어 2026년에도 4강이다. 세 대회 연속 월드컵 4강. 월드컵 역사에서 독일과 브라질만 먼저 밟았던"
8,2026.07.10 12:16,"[공식발표] 심장마비 사고 후, ""재활 돌입""...'손흥민 옛 동료' 에...",스포탈코리아,"[SPORTALKOREA] 김경태 기자= '포기란 없다.' 심정지로 쓰러졌던 크리스티안 에릭센이 재활에 돌입한다. VfL 볼프스부르크는 9일(한국시간) 공식 홈페이지를 통해 ""에릭센이 조만간 개인 재활 프로그램에 돌입한다. 디터 헤킹 단장과 깊은 논의를 거친 끝에, 34세의 에릭센은 고국인 덴마크로 넘어가 재활 일정을 소화하기로 결정했다""고 발표했다."
9,2026.07.10 15:35,"""정말 답답하다"" 미국 선수는 징계 유예, 잉글랜드 선수는 2경기 출전 ...",마이데일리,"[마이데일리 = 김건호 기자] 국제축구연맹(FIFA)이 일관된 행동을 보여주지 못하고 있다. FIFA는 9일(한국시각) ""FIFA 징계위원회는 멕시코 멕시코시티의 멕시코시티 스타디움에서 열린 2026 FIFA 북중미 월드컵 멕시코와 잉글랜드 경기에서 다이렉트 퇴장을 당한 잉글랜드 국가대표 자렐 콴사에게 FIFA 징계규정 제14조 위반에 따라 2경기 출전"
10,2026.07.10 10:23,[월드컵 STAR] '5골 2도움' 맹활약인데 묻힌다...8골 음바페에 ...,인터풋볼,"[인터풋볼=신동훈 기자] 우스만 뎀벨레 활약도 대단하다. 프랑스는 10일 오전 5시(한국시간) 미국 매사추세츠주에 위치한 보스턴 스타디움에서 열린 2026 국제축구연맹(FIFA) 북중미 월드컵 8강에서 모로코에 2-0 승리를 거뒀다. 프랑스는 경기 시작부터 압도적인 공세를 펼치며 모로코를 몰아붙였다. 킬리안 음바페, 데지레 두에, 뎀벨레가 잇달아"
